name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
SkinOutfit Women's Motorcycle Café Racer Biker Genuine Leather Jacket Burgundy,11920,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Winlit - Leather Jacket - Size M Women's - Black, Collared, 2 button, vintage",2346,Pre-Owned,1200,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's Kim Kardashian Double Breasted Slim Fit Black Real Leather Jacket Blazer,2376,Brand New,1999,False,8
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's Genuine Lambskin Leather Jacket Motorcycle Real Slim fit Biker Jacket,2500,Brand New,799,False,21
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's Jacket Genuine Lambskin Leather Slim fit Biker Designer Jacket- ,9999,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
motorcycle jacket women leather,1000,Pre-Owned,2500,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Denim & Co Purpke Leather Zip Up Jacket With Collar & Pockets  Women's Size XL ,2599,Pre-Owned,1575,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New Look Faux Leather Jacket Women's Size 1X Black Long Sleeves Full Zip Lined,1495,Pre-Owned,875,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Taifun Women Leather Biker Jacket Black Zipped Front Collar Size US 12 (M),2499,Pre-Owned,745,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vigoss Black Faux Vegan Leather Floral Embroidered Motorcycle Moto Jacket Size L,3899,Pre-Owned,1095,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Bagatelle Women's Faux Brown Leather Jacket Coat Size XL,1999,Brand New,800,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Sergio Beninni Women’s Red Soft Leather Jacket Sz XL Milan Italy Lined Moto,3500,Pre-Owned,1710,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Gruppo Marlys Gold Metallic Leather Zip Front Jacket Womens SZ 12 Made In Italy,1595,Pre-Owned,800,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women PU Leather Jacket Motorcycle Slim Fashion Coat Cute Shar Pei Poppy Dog,1999,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's Black Genuine Lambskin Leather Cropped Slim Fit Motorcycle Biker Jacket,2474,Brand New,1999,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Calzaiuoli Italy Women's Leather Jacket Soft Pleated Beige Size 48 (Large),5999,Pre-Owned,999,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Nygard Women's Black Leather & Dyed Rabbit Fur Jacket - Size XL (18/20),999,Pre-Owned,1499,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wilsons Leather Jacket Women’s Large Black Maxima Casual Button Up Slim Fit Coat,3197,Pre-Owned,999,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wilsons Leather Trench Coat Women’s XS Black Casual Button Up Jacket,2997,Pre-Owned,999,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Harley Davidson Women's Black Leather Motorcycle Jacket - Size L,3400,Pre-Owned,999,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Womens Harley Davidson Black Leather Riding Biker Jacket Sz L,5000,Pre-Owned,1495,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's New Look Faux Leather Jacket- Size Large,1499,Pre-Owned,1099,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Women's Black Leather Coat Jacket Hippy Mod 60s M BoHo Retro Belted,6500,Pre-Owned,800,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Express Faux Leather Studded Jacket Women’s M Flat Front Pockets Collared White,2250,Pre-Owned,759,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women's Size 16 Black Leather Jacket by Mix It **VERY NICE**,1399,Pre-Owned,1299,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
S9305 VTG Oakridge Women's Western Aztec Suede Leather Jacket Size 10,2599,Pre-Owned,1365,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Fringe Black Leather Jacket Women’s Size Large,2500,Pre-Owned,990,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Womens Zipper Long Sleeve Slim Casual Solid Coat Windproof Leather Suit Jacket,1495,Brand New,199,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
LL Bean Jacket Women Small Petite Bomber Canvas Work Pocket Leather Collar Lined,1999,Pre-Owned,965,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
JLC Women's Brown Leather Button Up Jacket Coat - Size Large,2499,Pre-Owned,1399,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
JouJou Women's  Cream Colored Faux  Zip-Front Leather  Jacket Size Medium,2000,Pre-Owned,1060,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Women PU Leather Long Sleeve Blazer Suit Ladies Formal Work Jacket Coat Outwear,1599,New (Other),0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Jones New York Women's Black Leather Barbour Collar Jacket - Size M,999,Pre-Owned,1499,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Womens Jacket Brown Faux Leather Full Zip Jacket,470,Pre-Owned,998,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Siena Studio Moto Jacket Size M Women's • Lime Green Genuine Leather Zip Bright,4999,Pre-Owned,850,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
