name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
10X Bronzing Washi Tape Masking Sticker Set DIY Scrapbooking Diary Planner Craft,366,Brand New,11,False,85
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape Set Masking Sticker Scrapbooking Stationery Planner Journal Album DIY,403,Brand New,73,True,66
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Flower Bronzing Washi Tape Set Scrapbooking Sticker Journal Album Card Craft DIY,239,Brand New,29,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Set Tape Scrapbooking DIY Masking Adhesive Paper Stationery Sticker Card,343,Brand New,274,False,11
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5M Leaf Washi Tape Masking Stickers Scrapbooking School Stationery Diary DIY,182,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"20 Washi Tape SAMPLES - kawaii, cute, animals, holiday, seasonal, sayings, etc",729,Brand New,0,False,27
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
DAISO Masking tape Washi tape  3 piece set from Japan,225,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Cute 48 Rolls Washi Tape Set,Foil Gold Thin Decorative Masking Washi Tapes,3MM",993,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1x Japanese Crane Washi Tape Adhesive Sticker Scrapbooking Diary Album DIY Craft,351,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Flower Bronzing Washi Tape Scrapbooking Paper Sticker Stationery Gift Wrap DIY,266,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
10 Rolls Blue Floral Deer Washi Tape Masking Tape Girl Notebook Planner Journal,699,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5X Bronzing Crane Washi Tape Set Masking Paper Stickers Scrapbooking DIY Craft,411,Brand New,29,False,62
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Scrapbooking Masking Washitape Retro Washi Tape Set Vintage Decoration Decorate,245,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
6x Christmas Washi Tape Set Santa Scrapbooking Adhesive Paper Sticker Stationery,459,Brand New,29,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5 Rolls Kawaii Girls Daily Life Washi Masking Tape Journal Scrapbok Stickers DIY,399,Brand New,363,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
4Rolls Flower Washi Tape Masking Stickers Stationery Diary Album Suppliers DIY ,337,Brand New,73,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Recollections Washi Tape (2) Boho Floral Designs 502757 & 502761,99,Brand New,560,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Christmas Washi Tapes Stickers Xmas Tree Deer Tape Decal Gift Packaging/12 Rolls,699,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
12 Rolls Christmas Washi Tapes Christmas Themed Stickers Japanese Washi Tape,999,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1 Roll Scrapbook Paper Washi Tape DIY Stickers Petals Masking Album Craft,322,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
10 Pcs Writable Rolls Paper Washi Masking Tape Rainbow Sticky Adhesive US,599,Brand New,,True,1302
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"30 Rolls Washi Masking Tape Set,Decorative Craft Tape Collection for DIY and",1063,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"24 Rolls Washi Masking Tape Set,Decorative Craft Collection for DIY",1099,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Prima SANTA BABY Washi Tape Set #655350 Pre-Owned cardmaking scrapbook,199,Pre-Owned,468,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
30Rolls/Set Adhesive DIY Decorative Scrapbook Paper Masking Tape Washi Tape,999,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Color Washi Tape Bronzing Flower Scrapbooking Diary Decor Album DIY NEW,149,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5X Washi Tape Set DIY Masking Adhesive Scrapbooking Stationery US Paper W6C2,190,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape Assortment (9 rolls),200,Pre-Owned,610,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Gold Tape | Metallic Light Gold Foil Washi Tape - 9/16in. X 10 Yds (pm34450110),695,Brand New,429,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Christmas Washi Tape Set 12 Rolls Foil Tape Green and Red Washi Tape Kids Tape,1149,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
30 Rolls Washi Tape Set for DIY Craft Scrapbooking Masking Wrapping 15mm Wide,1099,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape Set 30 Rolls Kids Tape Decorative Masking Glitter Tape ,799,Brand New,399,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Washi Tape 45-roll set for gifts, crafts, hobby, scrapbooking, cardmaking. NIB.",299,Brand New,862,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingSimply Gilded Heartbeat Washi Tape,1040,Brand New,560,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Cute Washi Tape 15 Rolls (about 7M-9M Each),800,Pre-Owned,416,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"48 Washi tapes combo, Occasional Motto tape box, 2 Meters length, Washi tape set",1950,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape Stamps - Vintage Mushrooms,800,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
24 Rolls Washi Tape Set - Gold Foil Galaxy Decorative Masking Tape Constellation,1752,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Kawaii Sakura Adhesive Washi Masking Tape Journal Dairy Album Decorative Sticker,199,Brand New,268,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
3m Checkerboard Pattern Adhesive Washi Masking Tape Diary Diy Decorative Sticker,159,Brand New,268,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape,740,Pre-Owned,1260,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Winter Beanie Gnomes Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi craft tape-box full of over 50 assorted rolls for papercrafting,1500,Brand New,1125,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Mixed Lot Of 23 Simply Gilded Assorted Washi Tapes Tape - NICE!!!  SHIPS FREE!!!,2999,Pre-Owned,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape **New** Beach And Sea Set Of Three,300,Brand New,350,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
GRAB BAG OF TWO- Washi tape sample cards  lot gift fun,500,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Misc Decorative Washi Tape  & Stamps DIY Arts and Crafts,750,Pre-Owned,100,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Holiday Washi Tape 45-pack, Craft & Scrapbook for Christmas/Fall/Birthday + more",299,Brand New,862,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
YUBX Exrta Slim Washi Tape Set Random Patterns 80 Rolls+ Bundle Gold Foil Super ,1152,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5 Writable Rolls Paper Washi Masking Tape Scrapbooking Masking Sticky Adhesive,599,Brand New,,True,60
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Mixed Lot Of 61 Simply Gilded Assorted Washi Tapes Tape - NICE!!!  SHIPS FREE!!!,7999,Pre-Owned,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
6X  Flower Foil Washi Tape Adhesive Scrapbooking Photo Album Card Paper Gift US,799,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
CraftbuddyUS 10 Christmas Washi Tape Roll Scrapbook Craft Paper Sticky Adhesive,760,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5 Rolls Washi Tape DIY Masking Scrapbooking Paper Decor Adhesive Sticker Craft n,595,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Fantasy Universe Holographic Washi Tape Journal Dairy Album Decorative Stickers,299,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5X Washi Tape Set DIY Masking Adhesive Scrapbooking US Sticker Paper  HOT,202,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"15 PKGS CHRISTMAS WASHI TAPE, BUTTONS, BRADS - EMBELLISHMENTS",499,Brand New,849,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingSimply Gilded And Cookie Sticker Co Bow Drip Washi Tape,800,Brand New,560,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
10 Rolls Cartoon Washi Tape DIY Scrapbooking Masking Sticker Paper Album Decor,377,Brand New,79,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
WASHI TAPE BLACK & GOLD HALLOWEEN=by LITTLE B=DIY CRAFTS SCRAPBOOKING -U CHOOSE ,100,Brand New,328,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Science Style Planetary Wide Washi Tape Scrapbooking Journaling,450,Brand New,425,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingVintage Natural Plants Adhesive Washi Masking Tape Journal Scrapbooking Stickers,319,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
3 Simply Gilded Washi Tape 24” Samples - Blanket Plaid Pumpkins Fall Leaves,399,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
anime washi tape,1000,Brand New,500,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
10PCS Washi Tape Set Scrapbooking Masking Stickers Journal Album Craft DIY Decor,422,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Recollections  Crafting Tape Ruban Artisnal - New,1200,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
90X Washi Tape Starry Sky Sticky Note Scrapbooking Sticker Stationery Card DIY,190,Brand New,73,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Christmas Stamps Washi Tape,375,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Color Paper Washi Tape Masking Adhesive Roll Cards ative CA F5K8,176,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Summer Beach printing Washi Tape Decoration stickers masking tapes DIY ,169,Brand New,298,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
12 Rolls of Christmas Washi Tape Christmas Themed Tapes for Craft DIY,579,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
happy planner washi tape set,99,Brand New,475,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
40Pcs Washi Tape Set Masking Tape Scrapbook Decorative Paper Adhesive Sticker US,1099,Brand New,,True,113
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
HILELIFE Decorative Washi Tape Set - 6 Rolls Floral Gold Foil Washi Masking Ta,813,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Scotch Expressions Washi Tape, 5/8"" x 393"", Gold Diamonds",795,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Color Paper Washi Tape Masking Adhesive Roll Cards ative CA F5K8,176,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
HILELIFE Decorative Washi Tape Set - 6 Rolls Floral Gold Foil Washi Masking Ta,813,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Scotch Expressions Washi Tape, 5/8"" x 393"", Gold Diamonds",795,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Kawaii Anime Lolita Girls PET Washi Tape Journal Diary Diy Scrapbooking Stickers,259,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Summer Beach printing Washi Tape Decoration stickers masking tapes DIY ,169,Brand New,298,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
happy planner washi tape set,99,Brand New,475,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Echo Park Let's Travel TRAVEL LANDMARKS 1/2"" WASHI TAPE scrapbooking 15 feet",180,Brand New,375,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
12Rolls Christmas Washi Tape Self-Adhesive Stripe Masking Tape with Xmas Sticker,1,Brand New,599,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Washi Tape Samples, 20 Inches - Vintage, Alice in Wonderland, Cute",500,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingSet of 8 Tropical Green Plants Cactus Rubber Plant Washi Tape - Paper tape,999,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Santa Mail Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Space Astronaut Washi Tape,275,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Medieval style Washi Paper Tape Diary Album Decorative Scrapbook Stickers 5M ,175,Brand New,299,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
7pcs Cartoon Animals Sakura Washi Tape Cute Paper Masking Scrapbooking Stickers,349,Brand New,395,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingLot of 80 Rolls Tape/Washi Tape Mixed For Scrapbooking Planners Crafts Pre-owned,2499,Pre-Owned,1350,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Darice TY Beanie Boo Unicorn Washi Tape,1259,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1 Roll Retro Silver Holographic Washi Tape Junk Journal Scrapbooking DIY Sticker,279,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wrapables Decorative Washi Tape Box Set for Arts & Crafts (12 Rolls),1299,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Oh Holly Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1 Woodland creatures washi tape ST1,395,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingSimply Gilded Whale Tales Washi Tape Kit w/ Extras - NEW!!! - SHIPS FREE!!!,4999,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Winter Furry Friends Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Holiday Christmas  Holly Berry Washi Tape Planner Supply DIY Craft Scrapbook ,225,Brand New,350,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wrapables Geometric Washi Masking Tape Set (3 Rolls),899,Brand New,,False,11
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wrapables Glitter Washi Masking Tape,899,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1 Heart washi tape black and white ST,395,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
NEW American Crafts Make It Happen Everyday Copper Washi Tape Spools,899,Brand New,735,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Golden Florals Washi Tape, Fall Washi",325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5mmX10M Snow Deer Christmas tree Decorative Tape DIY Scrapbooking Masking Tapes,326,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
12 Rolls Christmas Washi Tapes Stickers Xmas Tree Deer Tape Decal Gift Packaging,2199,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Fantasy Butterfly Jellyfish Holographic Washi Tape Journal Scrapbooking Stickers,369,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Scotch Expressions Washi Tape - 3 Pack,839,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Christmas Winter Accessories Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New ListingRabbit Unicorn Adhesive Washi Tape Scrapbook Diary Album Stationery Decoration,440,Brand New,0,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
New American Crafts Aqua Turquoise Glitter 3/8in Craft Tape 375 in X  4 ft.,299,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Washi paper tape Diary Lipstick cosmetic packaging decoration sticker,163,Brand New,299,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Retro Newspaper Postmark Washi Tape Scrapbooking DIY Journal Decorative Stickers,229,Brand New,300,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
5 Rolls Washi Tape DIY Masking Scrapbooking Paper Decor Adhesive Sticker Craft d,595,Brand New,,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Retro Flowers Poster Adhesive Wide Washi Tape Journal Stickers Wall Collage AAA,659,Brand New,385,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Washi Tape Set 60 Rolls Thin 3mm/5mm/8mm Decorative Kids Tape Scrapbooking Tape ,1249,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
2 Rolls Kitty Cat  Washi Tape Decorative Planner Supply Papercraft DIY Crafts,599,Brand New,350,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Christmas Snowman Mountains Washi Tape,400,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Lot of NEW Doodlebug Washi Tape - Brand New - 3 Rolls,599,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Candy Cane Gnomes Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Autumn Sunflowers & Pumpkins Fall Floral Washi Tape,300,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Santa’s Workshop Christmas Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Winter Snow Mountains Washi Tape,375,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
49 And Market Washi Tape Vintage Artistry Everyday 752505133225,651,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Simply Gilded Fall Flora And Fauna Sticker Kit,800,Brand New,560,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Fall Animals Flowers Washi Masking Tape Journal Card Seal Scrapbooking Stickers,269,Brand New,268,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Holiday Christmas  Holly Berry Washi Tape Planner Supply DIY Craft Scrapbook ,295,Brand New,395,False,26
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Halloween Crafting Washi Tape 5 Piece Set by Recollections,500,Brand New,426,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Retro Newspaper Map Adhesive Washi Tape Journal Bullet Diy Scrapbooking Stickers,169,Brand New,268,True,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Anime Washi Tape,275,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
 Holiday Winter Xmas Tree  Washi Tape Papercraft Planner Supply DIY Crafts ,295,Brand New,350,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Wildflower Gnomes Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
 CAT WASHI TAPE  2000-now ,300,Brand New,465,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Vintage Mail Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
"Washi Tape ~Wonder Woman, Batman, Wizard of Oz, Justice League, Variety",199,Brand New,300,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Anime Washi Tape,275,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Simple Stories Holly Jolly Washi Tape 4 Pack New,800,Brand New,,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Retro Stamp Washi Tape Adhesive Sticker Scrapbooking Handbook Craft Diary DIY ,251,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
6pcs/set Christmas Masking Washi Tape Holiday Gift Decorative Adhesive Tapes,798,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
1 Llama alpaca washi tape ST,395,Brand New,0,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Autumn Harvest Gnomes Washi Tape,325,Brand New,400,False,
name,lowest price in cents,owned status,shipping cost in cents,free return status,items sold
Monochrome Monsters Halloween Washi Tape,325,Brand New,400,False,
